Date,Open ,High ,Low ,Close ,Prev. Close,SMA_20,EMA_20,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,BB_Upper,BB_Lower
13-01-2017,14.6125,14.6525,13.375,14.3825,15.065,14.698875,14.79474686,60.5,15.02831173,14.59914629,0.429165435,0.543830205,17.13349022,12.26425978
12-01-2017,14.8075,14.865,13.4625,14.6125,14.3825,14.770625,14.77739001,57.51,14.96434069,14.60013546,0.364205237,0.507905211,17.09870693,12.44254307
11-01-2017,15.195,15.195,13.5375,14.8075,14.6125,14.84925,14.78025763,56.67,14.94021136,14.61549579,0.324715563,0.471267282,17.0623409,12.6361591
10-01-2017,15.48,15.48,14.025,15.195,14.8075,14.9415,14.8197569,55.28,14.97940961,14.65842203,0.320987578,0.441211341,17.04242736,12.84057264
09-01-2017,14.9125,15.635,13.82,15.48,15.195,15.040125,14.8826372,35.1,15.05642351,14.71927966,0.337143857,0.420397844,17.04039306,13.03985694
06-01-2017,15.05,15.0875,13.9225,14.9125,15.48,15.115875,14.88548128,39.37,15.03428144,14.73359228,0.30068916,0.396456107,16.96311496,13.26863504
05-01-2017,15.89,15.89,14.4475,15.05,14.9125,15.212,14.90114973,40.07,15.03669968,14.75702988,0.279669791,0.373098844,16.80635237,13.61764763
04-01-2017,15.9575,16.1,14.8975,15.89,15.05,15.3305,14.99532594,48.75,15.16797665,14.8409536,0.327023052,0.363883686,16.73652332,13.92447668
03-01-2017,15.83,16.4175,14.9025,15.9575,15.89,15.429875,15.08696157,55.47,15.28944178,14.92366074,0.365781042,0.364263157,16.70596635,14.15378365
02-01-2017,15.465,16.375,14.64,15.83,15.9575,15.380125,15.15772713,50.53,15.37260458,14.99079698,0.381807603,0.367772046,16.49454422,14.26570578
30-12-2016,15.2825,15.575,14.5325,15.465,15.83,15.319875,15.18699121,50.4,15.38681926,15.02592313,0.360896133,0.366396864,16.25683463,14.38291537
29-12-2016,15.5425,16.0775,14.6575,15.2825,15.465,15.28375,15.19608729,54.85,15.37077015,15.04492882,0.325841322,0.358285755,16.16345016,14.40404984
28-12-2016,15.0825,15.6275,14.2625,15.5425,15.2825,15.302375,15.22907898,51.09,15.39719012,15.08178595,0.315404175,0.349709439,16.1876901,14.4170599
27-12-2016,16.6025,16.7625,14.9475,15.0825,15.5425,15.29225,15.21511907,51.61,15.34877626,15.08183884,0.266937417,0.333155035,16.18301682,14.40148318
26-12-2016,15.1275,16.905,13.435,16.6025,15.0825,15.327125,15.34725059,50.18,15.54165683,15.19448041,0.347176426,0.335959313,16.36188187,14.29236813
23-12-2016,15.5525,15.78,12.6125,15.1275,16.6025,15.294,15.32632196,69.73,15.4779404,15.1895189,0.288421502,0.326451751,16.30858625,14.27941375
22-12-2016,14.705,15.7025,12.7625,15.5525,15.1275,15.320625,15.34786273,53.75,15.48941111,15.21640639,0.27300472,0.315762345,16.33288131,14.30836869
